Title,Description,Author,Narrator,SeroiesLabel,RunTimeLabel,ReleaseDateLabel,LanguageLabel,RatingsLabel
Leviathan,"Warhammer 40,000",Darius Hinks,Theo Solomon,,Length: 12 hrs and 13 mins,"Release date:
                                    06-24-23
                                  ","Language:
                                      English
                                    ",20 ratings
Slow Time Between the Stars,The Far Reaches Collection,John Scalzi,Kay Eluvian,The Far Reaches Collection,Length: 56 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",27 ratings
King of Pride,"Kings of Sin, Book 2",Ana Huang,"David Lee Huynh,Emery Erickson",Kings of Sin,Length: 11 hrs and 18 mins,"Release date:
                                    06-15-23
                                  ","Language:
                                      English
                                    ",82 ratings
One True Loves,A Novel,Taylor Jenkins Reid,"Julia Whelan,Taylor Jenkins Reid",,Length: 8 hrs and 53 mins,"Release date:
                                    06-13-23
                                  ","Language:
                                      English
                                    ",24 ratings
Everything,"Full Murderhobo, Book 3",Dakota Krout,Christian J. Gilliland,Full Murderhobo,Length: 13 hrs and 42 mins,"Release date:
                                    06-21-23
                                  ","Language:
                                      English
                                    ",177 ratings
How It Unfolds,The Far Reaches Collection,James S. A. Corey,James Patrick Cronin,The Far Reaches Collection,Length: 57 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",13 ratings
Winter’s Gifts,"Rivers of London, Book 3",Ben Aaronovitch,Penelope Rawlins,Rivers of London Series,Length: 5 hrs and 29 mins,"Release date:
                                    06-23-23
                                  ","Language:
                                      English
                                    ",29 ratings
Darkkin Knight,,John Conroe,Lily Ganser,The Demon Accords,Length: 13 hrs and 24 mins,"Release date:
                                    06-13-23
                                  ","Language:
                                      English
                                    ",74 ratings
Crowned in Black,"A LitRPG Dragonrider Adventure (The Archemi Online Chronicles, Book 6)",James Osiris Baldwin,"Justin Thomas James,Jeff Hays,Laurie Catherine Winkel,Soundbooth Theater",Archemi Online Series,Length: 19 hrs and 49 mins,"Release date:
                                    06-29-23
                                  ","Language:
                                      English
                                    ",
The Far Reaches,Stories to Take You Out of This World,"James S. A. Corey,Veronica Roth,Rebecca Roanhorse,Ann Leckie,Nnedi Okorafor,John Scalzi","James Patrick Cronin,Soneela Nankani,Shaun Taylor-Corbett,P. J. Morgan,Délé Ogundiran,Kay Eluvian",The Far Reaches Collection,Length: 6 hrs and 52 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",1 rating
Rich Kid,,Khan Nguyen,Abdullah Fahim,,Length: 1 hr and 29 mins,"Release date:
                                    06-12-23
                                  ","Language:
                                      English
                                    ",
Holy Spirit: The Bondage Breaker,"Experience Permanent Deliverance from Mental, Emotional, and Demonic Strongholds",David Diga Hernandez,William Crockett,,Length: 8 hrs and 40 mins,"Release date:
                                    06-01-23
                                  ","Language:
                                      English
                                    ",22 ratings
Contractually Yours,,Nadia Lee,"Sebastian York,Maxine Mitchell",,Length: 11 hrs and 44 mins,"Release date:
                                    06-10-23
                                  ","Language:
                                      English
                                    ",24 ratings
Aftershock,"Terran Scout Fleet, Book 5",Joshua Dalzelle,Paul Heitsch,Terran Scout Fleet,Length: 8 hrs and 25 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",6 ratings
The Menopause Reset,Get Rid of Your Symptoms and Feel Like Your Younger Self Again,Dr. Mindy Pelz,Dr. Mindy Pelz,,Length: 4 hrs and 52 mins,"Release date:
                                    06-20-23
                                  ","Language:
                                      English
                                    ",6 ratings
Beyond the Thistles,"The Highlands Series, Book 1",Samantha Young,"Shane East,Stella Hunter",Highlands Trilogy,Length: 10 hrs and 12 mins,"Release date:
                                    06-16-23
                                  ","Language:
                                      English
                                    ",23 ratings
Voidwalker,"My Best Friend Is an Eldritch Horror, Book 4",Actus,Peter Berkrot,My Best Friend is an Eldritch Horror,Length: 12 hrs and 20 mins,"Release date:
                                    06-20-23
                                  ","Language:
                                      English
                                    ",45 ratings
"""Cause Unknown""",The Epidemic of Sudden Deaths in 2021 & 2022,Ed Dowd,Eric Torres,,Length: 1 hr and 43 mins,"Release date:
                                    06-02-23
                                  ","Language:
                                      English
                                    ",14 ratings
The Setup,,Dan Bilzerian,Jas Patrick,,Length: 11 hrs and 29 mins,"Release date:
                                    06-13-23
                                  ","Language:
                                      English
                                    ",5 ratings
"The False Hero, Volume 7",,Michael Plymel,Mason Born,The False Hero,Length: 11 hrs and 35 mins,"Release date:
                                    06-13-23
                                  ","Language:
                                      English
                                    ",40 ratings
Leviathan,"Warhammer 40,000",Darius Hinks,Theo Solomon,,Length: 12 hrs and 13 mins,"Release date:
                                    06-24-23
                                  ","Language:
                                      English
                                    ",20 ratings
Slow Time Between the Stars,The Far Reaches Collection,John Scalzi,Kay Eluvian,The Far Reaches Collection,Length: 56 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",27 ratings
King of Pride,"Kings of Sin, Book 2",Ana Huang,"David Lee Huynh,Emery Erickson",Kings of Sin,Length: 11 hrs and 18 mins,"Release date:
                                    06-15-23
                                  ","Language:
                                      English
                                    ",82 ratings
One True Loves,A Novel,Taylor Jenkins Reid,"Julia Whelan,Taylor Jenkins Reid",,Length: 8 hrs and 53 mins,"Release date:
                                    06-13-23
                                  ","Language:
                                      English
                                    ",24 ratings
Everything,"Full Murderhobo, Book 3",Dakota Krout,Christian J. Gilliland,Full Murderhobo,Length: 13 hrs and 42 mins,"Release date:
                                    06-21-23
                                  ","Language:
                                      English
                                    ",177 ratings
How It Unfolds,The Far Reaches Collection,James S. A. Corey,James Patrick Cronin,The Far Reaches Collection,Length: 57 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",13 ratings
Winter’s Gifts,"Rivers of London, Book 3",Ben Aaronovitch,Penelope Rawlins,Rivers of London Series,Length: 5 hrs and 29 mins,"Release date:
                                    06-23-23
                                  ","Language:
                                      English
                                    ",29 ratings
Darkkin Knight,,John Conroe,Lily Ganser,The Demon Accords,Length: 13 hrs and 24 mins,"Release date:
                                    06-13-23
                                  ","Language:
                                      English
                                    ",74 ratings
Crowned in Black,"A LitRPG Dragonrider Adventure (The Archemi Online Chronicles, Book 6)",James Osiris Baldwin,"Justin Thomas James,Jeff Hays,Laurie Catherine Winkel,Soundbooth Theater",Archemi Online Series,Length: 19 hrs and 49 mins,"Release date:
                                    06-29-23
                                  ","Language:
                                      English
                                    ",
The Far Reaches,Stories to Take You Out of This World,"James S. A. Corey,Veronica Roth,Rebecca Roanhorse,Ann Leckie,Nnedi Okorafor,John Scalzi","James Patrick Cronin,Soneela Nankani,Shaun Taylor-Corbett,P. J. Morgan,Délé Ogundiran,Kay Eluvian",The Far Reaches Collection,Length: 6 hrs and 52 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",1 rating
Rich Kid,,Khan Nguyen,Abdullah Fahim,,Length: 1 hr and 29 mins,"Release date:
                                    06-12-23
                                  ","Language:
                                      English
                                    ",
Holy Spirit: The Bondage Breaker,"Experience Permanent Deliverance from Mental, Emotional, and Demonic Strongholds",David Diga Hernandez,William Crockett,,Length: 8 hrs and 40 mins,"Release date:
                                    06-01-23
                                  ","Language:
                                      English
                                    ",22 ratings
Contractually Yours,,Nadia Lee,"Sebastian York,Maxine Mitchell",,Length: 11 hrs and 44 mins,"Release date:
                                    06-10-23
                                  ","Language:
                                      English
                                    ",24 ratings
Aftershock,"Terran Scout Fleet, Book 5",Joshua Dalzelle,Paul Heitsch,Terran Scout Fleet,Length: 8 hrs and 25 mins,"Release date:
                                    06-27-23
                                  ","Language:
                                      English
                                    ",6 ratings
The Menopause Reset,Get Rid of Your Symptoms and Feel Like Your Younger Self Again,Dr. Mindy Pelz,Dr. Mindy Pelz,,Length: 4 hrs and 52 mins,"Release date:
                                    06-20-23
                                  ","Language:
                                      English
                                    ",6 ratings
Beyond the Thistles,"The Highlands Series, Book 1",Samantha Young,"Shane East,Stella Hunter",Highlands Trilogy,Length: 10 hrs and 12 mins,"Release date:
                                    06-16-23
                                  ","Language:
                                      English
                                    ",23 ratings
Voidwalker,"My Best Friend Is an Eldritch Horror, Book 4",Actus,Peter Berkrot,My Best Friend is an Eldritch Horror,Length: 12 hrs and 20 mins,"Release date:
                                    06-20-23
                                  ","Language:
                                      English
                                    ",45 ratings
"""Cause Unknown""",The Epidemic of Sudden Deaths in 2021 & 2022,Ed Dowd,Eric Torres,,Length: 1 hr and 43 mins,"Release date:
                                    06-02-23
                                  ","Language:
                                      English
                                    ",14 ratings
The Setup,,Dan Bilzerian,Jas Patrick,,Length: 11 hrs and 29 mins,"Release date:
                                    06-13-23
                                  ","Language:
                                      English
                                    ",5 ratings
"The False Hero, Volume 7",,Michael Plymel,Mason Born,The False Hero,Length: 11 hrs and 35 mins,"Release date:
                                    06-13-23
                                  ","Language:
                                      English
                                    ",40 ratings
